date,Open,High,Low,Close,Volume,Average,BarCount
2025-05-21 09:30:00-04:00,588.47,590.5,588.42,589.84,1416315.0,589.507,9591
2025-05-21 10:00:00-04:00,589.84,591.41,588.89,590.65,1481207.0,590.112,11177
2025-05-21 11:00:00-04:00,590.66,592.24,590.37,591.75,1187411.0,591.557,9705
2025-05-21 12:00:00-04:00,591.73,592.58,591.43,591.61,814355.0,591.968,6541
2025-05-21 13:00:00-04:00,591.63,591.77,583.79,586.13,4086833.0,586.88,31732
2025-05-21 14:00:00-04:00,586.16,586.39,583.78,584.02,1492877.0,585.169,11087
2025-05-21 15:00:00-04:00,584.03,584.62,581.83,582.98,4331785.0,583.506,31435
2025-05-22 09:30:00-04:00,582.66,584.33,581.41,584.17,1617810.0,582.799,11838
2025-05-22 10:00:00-04:00,584.19,585.17,581.51,582.93,1875809.0,583.323,15133
2025-05-22 11:00:00-04:00,582.92,584.37,582.36,584.24,1403313.0,583.394,11863
2025-05-22 12:00:00-04:00,584.28,585.61,583.05,583.11,1016482.0,584.288,7787
2025-05-22 13:00:00-04:00,583.13,585.83,582.63,585.38,1020445.0,584.259,7986
2025-05-22 14:00:00-04:00,585.38,586.09,584.89,585.82,931654.0,585.495,7612
2025-05-22 15:00:00-04:00,585.85,586.62,582.58,583.03,3034656.0,584.408,21969
2025-05-23 09:30:00-04:00,575.95,578.16,575.62,576.81,2662012.0,576.802,19894
2025-05-23 10:00:00-04:00,576.86,578.92,576.7,577.12,2224404.0,577.866,18591
2025-05-23 11:00:00-04:00,577.13,579.73,576.82,578.03,1375905.0,578.221,11483
2025-05-23 12:00:00-04:00,578.04,579.62,577.53,579.01,1125818.0,578.545,9584
2025-05-23 13:00:00-04:00,579.0,581.46,578.73,580.88,1070568.0,580.383,8489
2025-05-23 14:00:00-04:00,580.82,581.81,579.99,580.72,1087350.0,580.971,8603
2025-05-23 15:00:00-04:00,580.73,581.45,578.49,579.17,2687434.0,579.772,20208
2025-05-27 09:30:00-04:00,586.07,586.37,584.37,586.14,1819525.0,585.614,12024
2025-05-27 10:00:00-04:00,586.18,588.58,586.18,588.03,1587071.0,587.651,11169
2025-05-27 11:00:00-04:00,588.04,589.12,587.94,588.96,1070871.0,588.56,8612
2025-05-27 12:00:00-04:00,588.96,590.66,588.9,589.93,1217282.0,589.798,9262
2025-05-27 13:00:00-04:00,589.96,591.07,589.9,591.01,730575.0,590.354,5136
2025-05-27 14:00:00-04:00,590.99,591.31,590.37,590.4,1010279.0,590.779,7960
2025-05-27 15:00:00-04:00,590.39,591.08,589.88,591.05,3168285.0,590.447,21788
2025-05-28 09:30:00-04:00,591.57,592.76,590.54,590.8,1417316.0,591.7,9540
2025-05-28 10:00:00-04:00,590.8,591.15,589.22,589.34,1272193.0,590.206,9821
2025-05-28 11:00:00-04:00,589.34,590.14,588.97,589.04,933484.0,589.475,7295
2025-05-28 12:00:00-04:00,589.07,590.25,589.07,589.94,691498.0,589.804,5673
2025-05-28 13:00:00-04:00,589.93,590.61,589.44,589.7,753177.0,590.073,5844
2025-05-28 14:00:00-04:00,589.7,590.44,587.92,589.76,1324586.0,589.534,10648
2025-05-28 15:00:00-04:00,589.75,590.78,587.0,587.71,3359127.0,588.731,25897
2025-05-29 09:30:00-04:00,593.05,593.2,590.27,591.24,1724096.0,591.802,11662
2025-05-29 10:00:00-04:00,591.21,591.61,588.5,590.93,1807796.0,589.84,14002
2025-05-29 11:00:00-04:00,590.93,591.01,586.54,587.19,1546491.0,589.224,12569
2025-05-29 12:00:00-04:00,587.18,590.14,586.07,589.81,1433900.0,588.405,11523
2025-05-29 13:00:00-04:00,589.73,590.45,588.43,588.56,980544.0,589.45,7988
2025-05-29 14:00:00-04:00,588.58,589.54,587.61,588.81,1146286.0,588.743,9397
2025-05-29 15:00:00-04:00,588.81,590.66,588.36,589.99,2827469.0,589.431,21316
2025-05-30 09:30:00-04:00,588.91,589.11,586.4,587.02,1311537.0,587.773,9539
2025-05-30 10:00:00-04:00,587.05,589.91,587.05,588.69,1379822.0,588.948,10465
2025-05-30 11:00:00-04:00,588.74,589.37,587.35,587.99,919628.0,588.346,6887
2025-05-30 12:00:00-04:00,588.04,588.63,583.25,584.4,2952567.0,585.079,23396
2025-05-30 13:00:00-04:00,584.31,586.69,583.99,585.86,1330691.0,585.639,10704
2025-05-30 14:00:00-04:00,585.85,588.86,585.82,588.7,1902958.0,587.891,13736
2025-05-30 15:00:00-04:00,588.67,591.12,588.58,589.47,5300174.0,589.994,35016
2025-06-02 09:30:00-04:00,587.76,589.74,586.7,586.71,1625994.0,588.328,11304
2025-06-02 10:00:00-04:00,586.63,589.56,585.06,589.33,2590227.0,587.593,20677
2025-06-02 11:00:00-04:00,589.34,590.06,588.13,589.81,1584413.0,589.095,12706
2025-06-02 12:00:00-04:00,589.81,590.18,588.98,590.0,813766.0,589.547,6876
2025-06-02 13:00:00-04:00,590.01,590.61,589.5,589.98,766049.0,590.063,6611
2025-06-02 14:00:00-04:00,589.98,591.96,589.54,591.86,1328151.0,591.011,10607
2025-06-02 15:00:00-04:00,591.86,592.79,591.65,592.62,3255098.0,592.172,22251
2025-06-03 09:30:00-04:00,592.33,593.27,592.06,592.41,1357818.0,592.694,8979
2025-06-03 10:00:00-04:00,592.47,594.41,591.86,594.37,1477789.0,593.348,9496
2025-06-03 11:00:00-04:00,594.37,595.7,594.37,595.65,1188244.0,594.993,8278
